ID,Task,Simulation,Created,Start,Delay,Duration,Cost,Aborted,Resources
aacc42ef-caa9-4eb5-8f3d-7e785e1fa55f,Task1a,Sim0,0,0,0,5,0,false,r1
99db56b1-33b2-4851-9f81-f73700924b37,Task1b,Sim0,5,5,0,5,0,false,r2
0ec1cb29-15b9-4952-849d-3cda960cd4b4,Task2a,Sim0,0,5,5,5,0,false,r1
f1607297-112d-49a3-9768-fad7f9a4c03e,Task2b,Sim0,10,10,0,5,0,false,r2
71e086f8-8d6b-4683-afe8-27150bbd2f23,Task1c,Sim0,10,10,0,5,0,false,r3
abab3b59-c35f-44cf-9fd5-65b794f4f470,Task2c,Sim0,15,15,0,5,0,false,r3
c9e66487-0e82-4f06-a252-fd81d14a0600,Task2a,Sim1,30,30,0,5,0,false,r1
934bf3ad-1aaf-4966-9cbe-e7aa123d81ef,Task2b,Sim1,35,35,0,5,0,false,r2
3446dcfd-99f9-41b5-8775-44eec2541738,Task1a,Sim1,30,35,5,5,0,false,r1
1b3d7304-1c30-4f62-a694-efac7b2577cc,Task1b,Sim1,40,40,0,5,0,false,r2
584458b7-2b6d-477c-9498-8db0a7ed54c5,Task2c,Sim1,40,40,0,5,0,false,r3
9aeb0dcd-787e-4a97-b56e-524db6ed802e,Task1c,Sim1,45,45,0,5,0,false,r3
b68f8d01-3d02-42fb-87d6-bd769fe54e33,Task2a,Sim2,60,60,0,5,0,false,r1
f690d159-e372-43f5-8712-845a4d0a8dd9,Task2b,Sim2,65,65,0,5,0,false,r2
d29df7f6-f29e-4fee-b82d-6e046e157166,Task1a,Sim2,60,65,5,5,0,false,r1
df002c45-2e74-409c-83f8-8ccf6dbb6842,Task1b,Sim2,70,70,0,5,0,false,r2
5aa60e41-4b41-4d43-abb5-18e6c0aa8144,Task2c,Sim2,70,70,0,5,0,false,r3
4f6c8a8a-6d5e-4014-9faa-e44c8bbe1954,Task1c,Sim2,75,75,0,5,0,false,r3
85c4c719-0646-4696-bb04-60c666d8df91,Task2a,Sim3,90,90,0,5,0,false,r1
f62bf779-c7eb-428c-a669-3d4bcc11e438,Task1a,Sim3,90,95,5,5,0,false,r1
98b61cb3-633e-4950-ade0-25254d9469ce,Task2b,Sim3,95,95,0,5,0,false,r2
e7731309-3591-4cea-bc9c-d2328b0211ca,Task1b,Sim3,100,100,0,5,0,false,r2
e249c766-1efd-48cb-b2f0-a0c78993a04b,Task2c,Sim3,100,100,0,5,0,false,r3
23d6be33-cddb-4cbc-b0e1-a57cb8b3aefe,Task1c,Sim3,105,105,0,5,0,false,r3
ade4fdb8-d4f5-4cdf-ad2f-74805a12235f,Task2a,Sim4,120,120,0,5,0,false,r1
eb187158-b3c3-462f-b29e-18bfc735399b,Task1a,Sim4,120,125,5,5,0,false,r1
9d3a58ad-1bac-46c0-8891-5d3b7e12762f,Task2b,Sim4,125,125,0,5,0,false,r2
15144b36-c2bd-4915-a3a0-0abca250402f,Task1b,Sim4,130,130,0,5,0,false,r2
0a5ac48b-f789-4697-b250-7acbc4ca551a,Task2c,Sim4,130,130,0,5,0,false,r3
c04b4150-760b-4ba8-b1d4-494764ee8874,Task1c,Sim4,135,135,0,5,0,false,r3
20ed36be-3b42-4125-8889-8c25132bf9c6,Task2a,Sim5,150,150,0,5,0,false,r1
35ccdb02-ca34-4b86-a4e5-57eaf0c030f1,Task1a,Sim5,150,155,5,5,0,false,r1
14376f47-6e02-4c12-94fc-14733dd1ae28,Task2b,Sim5,155,155,0,5,0,false,r2
77bd52ef-583e-4da7-8b9b-fd3c3214daa3,Task1b,Sim5,160,160,0,5,0,false,r2
655126e8-9a6b-4998-8962-dd04a3b3fa21,Task2c,Sim5,160,160,0,5,0,false,r3
b3a766ce-1655-49c1-be6d-a8c714c46c08,Task1c,Sim5,165,165,0,5,0,false,r3
27d32826-0ca9-48c7-ba30-d4077a0ee0b6,Task1a,Sim6,180,180,0,5,0,false,r1
0d91f98d-8a03-4337-93db-c3d600666c63,Task1b,Sim6,185,185,0,5,0,false,r2
555712c7-55fa-4315-b92a-8b1fac353fe0,Task2a,Sim6,180,185,5,5,0,false,r1
73c775fb-1d4f-4782-982e-142b2e36fded,Task1c,Sim6,190,190,0,5,0,false,r3
53a6adb3-f344-41dc-b3fc-d5a601223b78,Task2b,Sim6,190,190,0,5,0,false,r2
1ed645b4-9909-447d-8fb8-bf218b6b1d3d,Task2c,Sim6,195,195,0,5,0,false,r3
16513c48-8bd6-41fe-a3e7-a7203f785842,Task1a,Sim7,210,210,0,5,0,false,r1
4f3561a4-3a78-4843-a2ad-81404d0f47de,Task1b,Sim7,215,215,0,5,0,false,r2
53a8d4bd-0ebc-44f1-a9cf-af7766b54d2b,Task2a,Sim7,210,215,5,5,0,false,r1
f7c78670-4df7-4306-8c3c-aec86c50dfc5,Task1c,Sim7,220,220,0,5,0,false,r3
81c6572f-2eb8-4961-8e3f-a5e9c36385e2,Task2b,Sim7,220,220,0,5,0,false,r2
9372f001-5ee7-48f7-8009-e7c3052dcb3d,Task2c,Sim7,225,225,0,5,0,false,r3
8fa23b8c-3ecf-4109-9ab9-9c2a0ab9c373,Task1a,Sim8,240,240,0,5,0,false,r1
cf7f597b-902d-49cb-b1cf-0d01e988b063,Task2a,Sim8,240,245,5,5,0,false,r1
dad5ef9c-f40d-4e8b-8043-c5d5ab97daf2,Task1b,Sim8,245,245,0,5,0,false,r2
9b4a7040-dd40-4e11-b7a6-4bafec9ac82d,Task2b,Sim8,250,250,0,5,0,false,r2
5ef38de3-a6f4-4afd-b6df-a9ce9300e0dc,Task1c,Sim8,250,250,0,5,0,false,r3
c20a6aa3-46bd-4180-9c2d-b1d62d101303,Task2c,Sim8,255,255,0,5,0,false,r3
a2696f5a-2fae-4ac6-ad2c-47b32f8b5cfb,Task1a,Sim9,270,270,0,5,0,false,r1
4913bef7-698a-498f-b573-9df921a91421,Task1b,Sim9,275,275,0,5,0,false,r2
490d7b10-c839-4fbb-a3ee-9bd672acc167,Task2a,Sim9,270,275,5,5,0,false,r1
2252ae5b-b331-4023-9344-dfe46d879ec2,Task1c,Sim9,280,280,0,5,0,false,r3
90558714-93b7-4cb5-b93a-f9445478ff7d,Task2b,Sim9,280,280,0,5,0,false,r2
7f5c0899-6909-4bf4-960d-8687f727f4be,Task2c,Sim9,285,285,0,5,0,false,r3
8fed42ae-5bbc-403b-b788-d136cb81c9f6,Task1a,Sim10,300,300,0,5,0,false,r1
b2bcae51-5e17-4af9-bb9e-b63852bcfa31,Task2a,Sim10,300,305,5,5,0,false,r1
34d98ae8-74c7-45d7-961f-c3d1452e8150,Task1b,Sim10,305,305,0,5,0,false,r2
1aefa9ca-f078-40ca-907b-a2aae8353404,Task1c,Sim10,310,310,0,5,0,false,r3
859aa60e-971d-4e12-93d2-8bd9de88949e,Task2b,Sim10,310,310,0,5,0,false,r2
8c885c32-39b7-43a5-8999-802a303ba517,Task2c,Sim10,315,315,0,5,0,false,r3
f363e1ae-e22e-490a-afed-2c457def31e9,Task1a,Sim11,330,330,0,5,0,false,r1
344aba54-9e1a-4808-bd56-1ad10aad6996,Task2a,Sim11,330,335,5,5,0,false,r1
a74e73c6-8088-425f-b947-1187b69808ae,Task1b,Sim11,335,335,0,5,0,false,r2
b578fafd-0ec0-40ae-a0c7-9429e8e1b1ce,Task2b,Sim11,340,340,0,5,0,false,r2
a6b3a6cc-38fc-477d-97e0-d3ad084d8dc6,Task1c,Sim11,340,340,0,5,0,false,r3
929cb50c-5d53-4371-b796-c290cf0617b0,Task2c,Sim11,345,345,0,5,0,false,r3
9b58a21c-7c2a-463b-9fc2-b7d2d00bdb54,Task2a,Sim12,360,360,0,5,0,false,r1
c2feebe5-2a5d-418b-aafd-2b48510d2bfa,Task2b,Sim12,365,365,0,5,0,false,r2
7573f140-8f3e-4cf7-a1db-3973c57a860e,Task1a,Sim12,360,365,5,5,0,false,r1
e382241e-12f1-491a-a21f-a0883c7dd9d3,Task1b,Sim12,370,370,0,5,0,false,r2
29ae32d4-a8b1-41a8-9a39-fe230817c14a,Task2c,Sim12,370,370,0,5,0,false,r3
571e078c-a276-42ae-87a1-458dec744285,Task1c,Sim12,375,375,0,5,0,false,r3
25c7ecd4-e2f7-4eda-9f28-9ce0f01e15fa,Task2a,Sim13,390,390,0,5,0,false,r1
46a7dfc2-6800-43e1-8066-5d19c511baa4,Task2b,Sim13,395,395,0,5,0,false,r2
5807115b-753e-4a22-a794-267bfb2b874b,Task1a,Sim13,390,395,5,5,0,false,r1
ed7105f9-aa8b-4d77-8bf4-2dc9733623ee,Task1b,Sim13,400,400,0,5,0,false,r2
3d50662d-60e8-4def-b34b-5fe1fffcbba1,Task2c,Sim13,400,400,0,5,0,false,r3
ac7b8fac-2d96-4756-aa13-5559a8c9ab09,Task1c,Sim13,405,405,0,5,0,false,r3
8dee774f-1709-4b31-8ada-e68051322087,Task2a,Sim14,420,420,0,5,0,false,r1
d5c2fd33-676a-4999-a404-7794420c27f2,Task1a,Sim14,420,425,5,5,0,false,r1
906fb954-d0d5-4e76-afbe-605658b5405f,Task2b,Sim14,425,425,0,5,0,false,r2
72ec325e-ea15-4afd-b021-f1606d7eeec0,Task2c,Sim14,430,430,0,5,0,false,r3
d9dded3e-a766-4a59-a61c-888296c3beed,Task1b,Sim14,430,430,0,5,0,false,r2
b9c04266-8f15-41cf-8e03-4911cc796004,Task1c,Sim14,435,435,0,5,0,false,r3
dc71f551-1c8b-4dc1-99f3-02d0524a0d05,Task2a,Sim15,450,450,0,5,0,false,r1
29cece5f-3426-4ead-af6e-64bbfd5238ab,Task2b,Sim15,455,455,0,5,0,false,r2
fb37f23d-675a-4312-9adc-330d0bb4e2e5,Task1a,Sim15,450,455,5,5,0,false,r1
5c6c9075-b656-4bf4-bd0a-88c27d821516,Task1b,Sim15,460,460,0,5,0,false,r2
1cd168cb-0395-4195-88a0-d65681cac491,Task2c,Sim15,460,460,0,5,0,false,r3
6b9e4eb6-c517-4488-9ffe-172182b64a10,Task1c,Sim15,465,465,0,5,0,false,r3
edfff32b-cd3e-4358-96a0-2fb1f3098900,Task1a,Sim16,480,480,0,5,0,false,r1
29c2d060-5aa0-4489-804e-e3e04f6cdd9f,Task1b,Sim16,485,485,0,5,0,false,r2
337f9163-4923-4648-b33f-199fd2505f39,Task2a,Sim16,480,485,5,5,0,false,r1
77b33a4f-6a1e-4abf-a42d-bdb77d655016,Task1c,Sim16,490,490,0,5,0,false,r3
cda7285b-39c2-4467-970a-74978ad43994,Task2b,Sim16,490,490,0,5,0,false,r2
7060f73f-c4a9-428e-b872-40bfb6512d1f,Task2c,Sim16,495,495,0,5,0,false,r3
e3cf2303-2c1d-4eec-a07a-4160068b6a2a,Task2a,Sim17,510,510,0,5,0,false,r1
75896ebf-75d1-4bfe-93dc-c7ecebf89d7a,Task2b,Sim17,515,515,0,5,0,false,r2
7c70ecb6-8fe7-423d-993e-01c9d745698b,Task1a,Sim17,510,515,5,5,0,false,r1
fc1d25c5-487d-425f-9253-f7228d6b5cd9,Task2c,Sim17,520,520,0,5,0,false,r3
07da7e2c-6578-46c2-b139-3b341005bf71,Task1b,Sim17,520,520,0,5,0,false,r2
c85f38ed-8413-4697-8ce8-0ab5fd5897bc,Task1c,Sim17,525,525,0,5,0,false,r3
d7d1d433-a9a0-468e-a890-d09615960562,Task2a,Sim18,540,540,0,5,0,false,r1
61f1e741-1439-45ed-927b-a5a9e74d9ae8,Task1a,Sim18,540,545,5,5,0,false,r1
0ad64093-a62c-4e1e-abbc-1a46925a5f31,Task2b,Sim18,545,545,0,5,0,false,r2
3970711e-9f40-446c-9784-306b625d85ca,Task2c,Sim18,550,550,0,5,0,false,r3
fd03315f-d8cc-4e34-95c5-b2e108aeb77e,Task1b,Sim18,550,550,0,5,0,false,r2
ab51e083-5f8a-4949-a8d6-9353cc3fec14,Task1c,Sim18,555,555,0,5,0,false,r3
050b8de2-a4f0-4fcf-b3fb-4fe550605ad2,Task2a,Sim19,570,570,0,5,0,false,r1
fe8ed147-00db-4212-98b4-0091220c9628,Task2b,Sim19,575,575,0,5,0,false,r2
43aca46f-f9bf-4caa-aa18-52e1ec96de80,Task1a,Sim19,570,575,5,5,0,false,r1
1b12993d-59d8-4f9c-815e-69b3d7d96295,Task1b,Sim19,580,580,0,5,0,false,r2
f960c0ff-c4f6-4768-8b06-c1f4607e0dac,Task2c,Sim19,580,580,0,5,0,false,r3
5cd566d9-da19-43be-8fe9-64ba3c65c872,Task1c,Sim19,585,585,0,5,0,false,r3
c7415789-1a6d-40c9-8f92-7d319c0c843b,Task1a,Sim20,600,600,0,5,0,false,r1
0dc6ac83-31a7-43aa-97b6-8e5c21e1c826,Task2a,Sim20,600,605,5,5,0,false,r1
92efa988-51d8-4276-b029-56d0ec9be963,Task1b,Sim20,605,605,0,5,0,false,r2
6e66f319-e69d-45f2-be8f-4c37fde2a033,Task2b,Sim20,610,610,0,5,0,false,r2
ffe563b8-ffb3-4d81-b8ed-d41e1d24c968,Task1c,Sim20,610,610,0,5,0,false,r3
1d568289-ee83-4a88-8f3e-e1a26abbbb58,Task2c,Sim20,615,615,0,5,0,false,r3
bde1a5c5-a919-4811-a57d-d7db44544d6c,Task2a,Sim21,630,630,0,5,0,false,r1
629f3c9b-4697-411e-87bb-26061387cc3d,Task1a,Sim21,630,635,5,5,0,false,r1
5c134cc0-5fe2-439e-9844-392c707f4ae8,Task2b,Sim21,635,635,0,5,0,false,r2
de4b93f4-8f7e-4b6e-9e2a-207be9b8c8e8,Task1b,Sim21,640,640,0,5,0,false,r2
9d8a9622-3c88-4734-9876-2d250629cae7,Task2c,Sim21,640,640,0,5,0,false,r3
4d27e9a5-77c7-4eb9-97b5-99d9491c51ed,Task1c,Sim21,645,645,0,5,0,false,r3
d34293e2-1726-42f1-9ca5-3bf2d0dfd927,Task2a,Sim22,660,660,0,5,0,false,r1
7a80a858-900a-4be4-adaf-f359f3557040,Task1a,Sim22,660,665,5,5,0,false,r1
5705d47d-1138-4f85-b9b1-662b973bdea3,Task2b,Sim22,665,665,0,5,0,false,r2
382bfe26-eb0e-4e8b-9a1a-896e31bd2052,Task1b,Sim22,670,670,0,5,0,false,r2
8f5c4bd6-eb9d-49f7-8e7d-bbedce5bcdc8,Task2c,Sim22,670,670,0,5,0,false,r3
fd06893d-fd06-4f5a-b281-5ef386ca0fdc,Task1c,Sim22,675,675,0,5,0,false,r3
87e2ca15-1160-4743-ba05-1ab7f0768d6d,Task1a,Sim23,690,690,0,5,0,false,r1
b25064d7-6fc1-4647-8b1a-8ce38f95b4c4,Task2a,Sim23,690,695,5,5,0,false,r1
ac6ba811-809e-4715-8ae0-ababd2d2ef32,Task1b,Sim23,695,695,0,5,0,false,r2
f6cd9a7a-216d-48b3-91cc-a22e15441acc,Task2b,Sim23,700,700,0,5,0,false,r2
e711e875-4a9e-4eb4-b3db-723353f7d856,Task1c,Sim23,700,700,0,5,0,false,r3
505ada91-ae2e-42b1-9ae3-ac7b1bdb54fa,Task2c,Sim23,705,705,0,5,0,false,r3
d9d083db-ec21-48ae-8faf-e4e126067d27,Task1a,Sim24,720,720,0,5,0,false,r1
5eaadc92-1bfd-4072-85de-d0379c061765,Task1b,Sim24,725,725,0,5,0,false,r2
da5364bd-e62d-4625-969b-a35e78c89b57,Task2a,Sim24,720,725,5,5,0,false,r1
9d5765f0-9dd2-4f0d-a7c0-229dc201b27e,Task2b,Sim24,730,730,0,5,0,false,r2
34202867-2c09-41c0-b5d2-700b9f754a1e,Task1c,Sim24,730,730,0,5,0,false,r3
9b61debb-0e1f-48f8-917d-f7ecfc7b9978,Task2c,Sim24,735,735,0,5,0,false,r3
a3233f1d-37dc-435c-b441-f855f8817eb1,Task1a,Sim25,750,750,0,5,0,false,r1
41981f87-fce2-4bf5-99bd-2a857967c309,Task1b,Sim25,755,755,0,5,0,false,r2
e2adba04-cbdd-4482-baac-7e126d82184c,Task2a,Sim25,750,755,5,5,0,false,r1
62a3ba19-22e7-41a8-a54d-048f1a3ffb38,Task2b,Sim25,760,760,0,5,0,false,r2
9f46fc8c-fde8-423a-a79e-e2a89c5984dd,Task1c,Sim25,760,760,0,5,0,false,r3
3202fe24-5d4a-4bee-ae37-ddce46212bde,Task2c,Sim25,765,765,0,5,0,false,r3
989dfd60-4768-437a-96ee-ea6ee75639a1,Task1a,Sim26,780,780,0,5,0,false,r1
0af66316-1391-40c0-b653-b39ca08e4079,Task1b,Sim26,785,785,0,5,0,false,r2
11a00aa8-d7bc-4c9a-a4cd-82a06aff6ba5,Task2a,Sim26,780,785,5,5,0,false,r1
0059251d-a4da-4806-89ce-af8998f6c86a,Task2b,Sim26,790,790,0,5,0,false,r2
26a005c0-c998-4e45-89f6-dcb59e61e72a,Task1c,Sim26,790,790,0,5,0,false,r3
b0b5f404-7394-4043-9e3f-7250071a0cf3,Task2c,Sim26,795,795,0,5,0,false,r3
cd583426-f506-4115-b059-a7b805ba3d31,Task1a,Sim27,810,810,0,5,0,false,r1
08d2e4c7-323b-464c-816a-ced664d58e48,Task2a,Sim27,810,815,5,5,0,false,r1
52ae7739-b5f5-4ca9-b6ee-04e89c058041,Task1b,Sim27,815,815,0,5,0,false,r2
9dfe2169-9be8-499e-9f2c-4afcedc003e7,Task1c,Sim27,820,820,0,5,0,false,r3
fd8722a0-5965-4831-a3f3-ad04fb45e708,Task2b,Sim27,820,820,0,5,0,false,r2
eeade981-1394-45ee-ba22-10d9b10f5b48,Task2c,Sim27,825,825,0,5,0,false,r3
edf755d2-fee0-410c-85e2-4bfd861bcc1a,Task1a,Sim28,840,840,0,5,0,false,r1
f33fb248-6b4c-49f9-ba26-85180defd4a5,Task2a,Sim28,840,845,5,5,0,false,r1
c724efe4-a777-4337-83b5-1dd2cd5d7a29,Task1b,Sim28,845,845,0,5,0,false,r2
47bde3a0-ff72-4c85-b32b-1b037f4ee7a4,Task1c,Sim28,850,850,0,5,0,false,r3
9a1ae839-e649-455d-96cf-5173ccbfe8bf,Task2b,Sim28,850,850,0,5,0,false,r2
e93c5520-303c-4cce-a2b2-e8950a31c140,Task2c,Sim28,855,855,0,5,0,false,r3
f340aec4-5e39-4a9b-9528-0db1bfb96e9c,Task2a,Sim29,870,870,0,5,0,false,r1
1e8d9a43-158a-49d2-a254-7eb1647e0ebc,Task2b,Sim29,875,875,0,5,0,false,r2
ffeed055-1ba8-4863-bcf0-0994aad6092b,Task1a,Sim29,870,875,5,5,0,false,r1
d283dd94-6ae9-4265-97fc-13d06f3b5afa,Task1b,Sim29,880,880,0,5,0,false,r2
e2736fee-52fe-4880-9f50-c4bebac0254f,Task2c,Sim29,880,880,0,5,0,false,r3
3b9144b0-7af4-478a-aba2-939469613d1d,Task1c,Sim29,885,885,0,5,0,false,r3
c9ee1399-935f-47a1-a9ac-3b0cd4f10617,Task2a,Sim30,900,900,0,5,0,false,r1
3750991a-c7f4-4b4f-a7d5-5cb01412c12e,Task1a,Sim30,900,905,5,5,0,false,r1
83f7e21f-a450-41a1-8686-ec8825dafba2,Task2b,Sim30,905,905,0,5,0,false,r2
144dd6bb-d4f1-4b56-ba37-eb20d013d14c,Task2c,Sim30,910,910,0,5,0,false,r3
477e1cec-9f01-42e1-8452-a5c78a5531c6,Task1b,Sim30,910,910,0,5,0,false,r2
0b1ecb23-ae30-4a17-a62a-cceca15a4ee7,Task1c,Sim30,915,915,0,5,0,false,r3
ac223e07-c77f-49db-b6b3-8b28432bb4c8,Task2a,Sim31,930,930,0,5,0,false,r1
ced82b2e-225a-469f-bd18-acf0085e8ed7,Task2b,Sim31,935,935,0,5,0,false,r2
2cc8567b-f16e-47a8-9eb5-1b71b53e8261,Task1a,Sim31,930,935,5,5,0,false,r1
b042affb-2aa0-498f-8f91-13a20a9c05b4,Task2c,Sim31,940,940,0,5,0,false,r3
aea50e66-6e89-4094-ba7c-14b4fd837ff3,Task1b,Sim31,940,940,0,5,0,false,r2
a26f4334-b116-4d18-9981-8fc63d9d08f9,Task1c,Sim31,945,945,0,5,0,false,r3
aaa983c3-4b23-4fb5-8d50-af573ab192ec,Task1a,Sim32,960,960,0,5,0,false,r1
e16dbad5-d993-4649-baad-1d620b1a5db5,Task2a,Sim32,960,965,5,5,0,false,r1
a49443c4-b481-4a7a-ad24-ebfba6ac780d,Task1b,Sim32,965,965,0,5,0,false,r2
924aa88f-644a-4aef-8917-7cd88c371836,Task1c,Sim32,970,970,0,5,0,false,r3
db994615-21f8-489b-99b2-02a51c891377,Task2b,Sim32,970,970,0,5,0,false,r2
fe6cfd9b-bc8a-44fc-9f50-b85265be986e,Task2c,Sim32,975,975,0,5,0,false,r3
88cc181e-e091-4f5b-bb13-a4076c1572bd,Task2a,Sim33,990,990,0,5,0,false,r1
7cc65db2-21b3-474d-8072-d8b09823b7ad,Task1a,Sim33,990,995,5,5,0,false,r1
cd6078f0-7ec5-4e33-b559-aa6b62ce1ef3,Task2b,Sim33,995,995,0,5,0,false,r2
b15a7b04-0c02-4776-95f3-2b83959c27b9,Task2c,Sim33,1000,1000,0,5,0,false,r3
37118ddf-1742-4cc6-bb47-d2c28d99babc,Task1b,Sim33,1000,1000,0,5,0,false,r2
